Date / Time,City,State,Shape,Duration,Summary,Posted
1/31/2015 8:05,Palmer,AK,Sphere,20 minutes,Lighted object over the Talkeetna Mountain Range near Hatcher Pass.,2/6/2015
1/14/2015 18:00,Bethel,AK,Other,10 minutes,"Black smoke contrails over Bethel, Alaska.",1/16/2015
1/8/2015 21:30,Wasilla,AK,Triangle,10 seconds,Triangle being followed by plane over KGB.,1/16/2015
1/6/2015 7:50,Homer,AK,Other,3 minutes,"Floating pretzel-shaped object over town, scanning laser.",1/7/2015
12/26/2014 20:40,Anchorage,AK,Disk,10 seconds,Saucer hovering over military base forest off of Seward Highway in Anchorage.,1/7/2015
12/24/2014 17:30,Fairbanks,AK,Triangle,30 minutes,Three distant lights that appears to be aircraft on a collision course. Two lights disappeared leaving one.,1/7/2015
12/6/2014 1:00,North Pole,AK,Triangle,3 minutes,Large triangular shape with lights hovering over the outskirts of North Pole.,12/12/2014
11/18/2014 20:30,Eagle River,AK,Fireball,2 minutes,Absolutely stationary fireball around 300 feet over the inlet.,11/21/2014
10/22/2014 20:30,Wasilla,AK,Circle,All night,"I saw a bright colorfull object on a very clear dark starry sky With red, green, & white lights moving in a circular motion.",11/6/2014
9/25/2014 11:00,Denali State Park,AK,Rectangle,4-6 minutes,I was driving and it was 11pm at nite sorry I could not get the time to correct at top / had just passed over clam gulch bridge it wa,10/3/2014
9/20/2014 22:15,Anchorage,AK,Circle,10 seconds,Light green saucer-like object behind Anchorage airport (Earthquake Park).,9/25/2014
9/14/2014 22:30,Fairbanks,AK,Triangle,1 minute,"Grey, triangular object with no lights moving across the sky.",9/18/2014
9/13/2014 9:43,Eagle River,AK,Light,10-15 minutes,"A line of multiple orange lights flying slowly, possibly following the contours of the mountain and then disappearing into the sky.",9/18/2014
8/31/2014 2:00,Palmer,AK,Light,2 minutes,"Top of a mountain pass, saw two lights in the sky",9/5/2014
8/7/2014 17:30,Ketchikan,AK,Oval,2 minutes,"Daylight a few miles away, very bright, oval, silent, stationary then disappeared.",8/8/2014
8/5/2014 0:36,Wasilla,AK,Light,3 minutes,"Orange glowing orb, Wasilla, Alaska.",8/8/2014
6/3/2014 14:00,Anchorage,AK,Rectangle,2 minutes,"Huge craft 500' in diameter 5000' following a airliner, object went threw clouds and reappear changing shape from square to rectangl",6/13/2014
5/14/2014 17:45,Homer,AK,Other,5 minutes,Plane seems to disappear over Kachemak Bay.,6/4/2014
5/13/2014 2:00,Anchorage,AK,Changing,2 hours,Moved spuratically and continued back & forth and from side to side Lights were reddish and clear for a few seconds would show no light,6/4/2014
5/10/2014 21:00,Irving,AK,Circle,15 mintues,"Was circling a star and then moved away and disappeared, minutes later saw another one and a jet following the object.",6/4/2014
5/5/2014 16:00,Anchorage,AK,,3+ hours,UFO hiding in moving mist/cloud over Cook Inlet.,5/8/2014
4/19/2014 22:15,Anchorage,AK,Flash,3-5 minutes,"Brightly flashing high speed spherical object moving at very low altitude across the mountains, moving sporadically at first.",4/24/2014
4/19/2014 0:04,Kodiak,AK,Sphere,1 minute,Red light over Kodiak.,4/24/2014
4/14/2014 22:45,Wasilla,AK,Triangle,1 minute,3 red-orange lights on low flying UFO(s) off Parks Hwy in Wasilla in triangle formation.,4/18/2014
4/11/2014 21:30,Ketchikan,AK,Fireball,2 minutes,"Fireball like object seen above the small island city of Ketchikan, Alaska.",4/18/2014
4/9/2014 11:30,Kenai,AK,Light,2 hours,Strange fast moving lights high in the sky,4/11/2014
4/2/2014 11:00,Kenai,AK,Oval,60 seconds,Bright white oval seemed to come out of nowhere and hovered silently towards the mount Redoubt area,4/4/2014
3/31/2014 2:30,Wasilla,AK,Triangle,15 minutes,Triangle craft silently maneuvering over Wasilla at 230 am,4/11/2014
3/29/2014 20:45,Anchorage,AK,Cigar,15 seconds,I explained away the first time I thought I seen this object but twice weeks apart...I'm certain now,4/4/2014
3/28/2014 11:30,Chugiak,AK,Light,1 minute,Lights in sky. Flying objects.,4/4/2014
3/28/2014 11:17,Wasilla,AK,Changing,~60 minutes,Red and white lights on UFO.,4/4/2014
3/28/2014 11:03,Bethel,AK,Triangle,13 minutes,Triangle shaped and bright orange.,4/4/2014
3/25/2014 22:00,Nikiski,AK,Light,10 minutes,6 orange independently flying lights.,3/27/2014
3/25/2014 22:00,Clam Gulch,AK,Sphere,20 minutes,"Lights in sky above Cook Inlet, Alaska.",3/27/2014
3/12/2014 23:30,Ninilchik,AK,Circle,10 minutes,4 ufo's lights over Cook Inlet.,4/4/2014
3/3/2014 19:02,Ward Cove,AK,Diamond,22 seconds,"After dark, object at extreme altitude, flashing in response to spotlight, changing course, blacking out-then back on.",3/18/2014
3/2/2014 1:00,Butte,AK,Light,4 minutes,"Clear skies, 3 amber lights overhead for 4 minutes fading out or shooting away one by one.",4/11/2014
3/1/2014 0:00,Anchorage,AK,Light,2-3 minutes,9 red dots hovering low in the sky moving very slowly to the west.,3/18/2014
2/23/2014 19:45,Anchorage,AK,Light,5-10 minutes,2 Unidentified Orange Lights above Anchorage.,2/27/2014
2/21/2014 23:30,Palmer,AK,Light,5 minutes,Orange/Amber lights over the Hatcher Pass area.,2/27/2014
2/21/2014 0:00,Anchorage,AK,Oval,4 seconds,Luminescent oval shaped craft flies over Kincaid Park.,3/18/2014
2/19/2014 3:00,Anchorage,AK,Flash,1 minute,Red Flashing UFO Hovering and slowly moving right to left.,2/27/2014
1/31/2014 22:00,Anchorage,AK,Cylinder,15 minutes,"Bright orange lights, moving slowly up from the ground, hovering and moving away to the SW.",2/7/2014
1/14/2014 23:00,Talkitna,AK,,3 seconds,"This is one you can see for yourself. TV show on IDHD Channel. ""Ice Cold Killers"" Season 2 episode2 &quot;fear Thy Neighbor&q",1/16/2014
1/2/2014 11:45,Anchorage,AK,Oval,20 seconds,Fast flying oval seen in the daylight past Chugach Mountains.,1/7/2015
12/31/2013 23:00,Fairbanks,AK,Light,2 minutes,Orange light floating in night sky.,1/10/2014
12/31/2013 20:28,Eagle River,AK,Other,~6 minutes,"Orange lights hovering in v formation, change formation and fade away over the Glenn Hwy.",1/10/2014
12/31/2013 1:00,Fairbanks,AK,Light,5-10 minutes,Six orange lights three differnt times from New Years Eve 11 pm to New Years Day 12:30 am.,3/18/2014
12/26/2013 18:21,Anchorage,AK,Unknown,5 minutes,Orange light in sky approaching from southeast. Steady trajectory.,1/10/2014
12/23/2013 22:22,Anchorage,AK,Circle,10 seconds,"At least 40 round red orbs hovering in formation above the hillside, disappeared quickly.",1/10/2014
12/23/2013 22:11,Anchorage,AK,Light,5 minutes,stationary amber/orange colored lights over Anchorage.,1/10/2014
12/23/2013 21:15,Wasilla,AK,Fireball,10 seconds,Orange fireball looking object moving fluidly across sky over Wasilla moving fast enough to appear propelled. Stopped and then disappea,1/10/2014
12/23/2013 16:00,Anchorage,AK,Fireball,~10 minutes,"Very large fireball with a fire trail falling over southside of Anch. inlet, 2 jets observed flying towards object.",10/3/2014
12/22/2013 18:00,Soldotna,AK,Light,1 second (each),Orange flashes of light in different areas.,12/23/2013
12/19/2013 16:00,Anchorage,AK,Circle,~5 minutes,"Two large, bright red, circular objects falling out of the sky over Elmendorf AFB.",12/23/2013
12/14/2013 18:50,Anchorage,AK,Flash,Seconds,Strange flash in the sky.,12/23/2013
12/12/2013 22:30,North Pole,AK,Flash,2-3 seconds,Dim flash of orange lasting a few seconds that came from above and illuminated 30 ft. trees.,12/23/2013
12/11/2013 8:25,Anchorage,AK,Fireball,2 seconds,Anchorage meteor ufo Spenard area.,12/12/2013
12/10/2013 23:50,Anchorage,AK,Light,3 minutes,Red light with yellow edges pulsating and stationary to the south of Anchorage just below overcast cloud cover which provided me with a,12/12/2013
12/10/2013 23:15,Fairbanks,AK,Unknown,7-14 seconds,"Brights orange lights flashing, and disappeared out of sky instantly",12/23/2013
12/9/2013 21:00,North Pole,AK,Flash,3-5 seconds,"Bright orange flashes lasting only a few seconds in North Pole, Alaska.",12/12/2013
12/5/2013 17:04,Ketchikan,AK,Light,16 minutes,Light stayed over airport and slowly went left to right. Then it got really bright and dimmed and was gone.,12/12/2013
11/20/2013 18:00,Kuparuk,AK,Light,5 seconds,White blue light in sky appears and hyperdrives away like it never happened.,12/2/2013
11/18/2013 21:00,Palmer,AK,Cylinder,20 minutes,"Large orange cylindrical object flying over and near Pioneer Peak Alaska (6,000 ft in elevation)",11/20/2013
11/10/2013 19:30,Palmer,AK,Fireball,20 minutes,It's snowing hard our first real snow of the season... I went in the kitchen and happened to glance out the window and I saw these fire,11/11/2013
